-7601.9823, 
-4992.882513168845, 
-4848.574030854286, 
-4784.671596395297, 
-4767.446648865478, 
-4757.320165371117, 
-4748.938433628043, 
-4742.434031481513, 
-4735.625053377018, 
-4729.6749341747445, 
-4724.369636410903, 
-4719.934619747022, 
-4716.069322123458, 
-4711.493604200883, 
-4708.494438434043, 
-4705.741838836278, 
-4703.817152680971, 
-4702.207138958816, 
-4700.829832231028, 
-4699.600818011884, 
-4698.390218862237, 
-4697.216394510377, 
-4696.059913143188, 
-4694.998604888182, 
-4693.987960313171, 
-4692.964014602236, 
-4691.925763308875, 
-4690.837031789231, 
-4689.630697908771, 
-4688.358455427594, 
-4687.073187628347, 
-4685.616901055654, 
-4684.231613009957, 
-4680.8289166893655, 
-4677.544079614617, 
-4675.196887943766, 
-4671.650655847978, 
-4667.615382729482, 
-4663.4476316216815, 
-4660.262992821127, 
-4657.6448279444585, 
-4655.17445556746, 
-4651.412441106583, 
-4648.499130041415, 
-4644.70721667186, 
-4640.156932886152, 
-4636.346238787154, 
-4633.369924100933, 
-4629.329990928375, 
-4622.94257776103, 
-4618.476638379357
